"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-08",101.6376,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-09",101.5387,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.469,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.3708,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.2108,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.0654,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-02",100.9444,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.8726,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.8095,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.7519,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.6948,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.6282,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.4828,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.2558,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.1145,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.1311,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.2719,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.4045,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.522,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.6393,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.6849,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.6833,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.5845,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.4544,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.3297,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-09",100.2125,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-10",100.076,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.98534,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.87057,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.70213,
